application_id,district_name,gender,residential_type,specially_abled_type,enterprise_type,sector,ifsc_code,days_to_bhd_verification,days_to_sbdu_verification,days_to_dlic_approval,days_to_bank_sanction,days_to_disbursement,total_tat_days,applicant_monthly_income,loan_tenure_months,interest_rate,emi_amount,emi_to_income_ratio,risk_score,credit_eligibility_score,repayment_status,loan_amount_inr,project_cost_inr
541,Ramban,Female,Unknown,Visual,Nano Entrepreneur,Manufacturing,JKBK057979,39.0,67.0,50.0,109.0,7.0,212.0,69548.0,35.12,13.88,17897.0,0.3,100.0,0.53,Late,680284.0,53252.0
542,Rajouri,Female,Rural,Multiple,Nano Entrepreneur,Agri,JKBK082921,32.0,7.0,30.0,87.0,23.0,179.0,115890.0,18.0,6.71,17897.0,0.3,81.0,0.82,Unknown,1488159.0,4944508.0
543,Udhampur,Female,Rural,Unknown,Nano Entrepreneur,Tourism,JKBK042557,0.0,35.0,25.0,74.0,39.0,173.0,31161.0,36.0,13.62,17897.0,0.3,41.0,0.48,Late,23151.0,44616.0
544,Udhampur,Other,Unknown,Multiple,Unknown,Unknown,JKBK080949,31.0,53.0,11.0,74.0,24.0,188.0,10586.0,18.0,13.31,17897.0,0.3,95.0,0.45,Late,4821000.0,2301000.0
545,Pulwama,Male,Rural,Hearing,Existing Enterprise,Tourism,JKBK028441,37.0,86.0,57.0,120.0,10.0,212.0,76335.0,12.0,9.28,17897.0,0.3,54.0,0.2,Unknown,36248.0,713767.0
546,Samba,Female,Urban,Multiple,Msme Sunrise Sector,Manufacturing,JKBK075473,24.0,19.0,31.0,93.0,31.0,198.0,28383.0,60.0,13.22,17897.0,0.3,60.0,0.24,On-Time,4153795.0,623000.0
547,Poonch,Female,Urban,Multiple,Existing Enterprise,Services,JKBK034482,3.0,52.0,31.0,67.0,21.0,174.0,64024.0,18.0,13.25,17897.0,0.3,86.0,0.27,On-Time,4929896.0,5579000.0
548,Rajouri,Female,Urban,Unknown,Nano Entrepreneur,Retail,JKBK086267,26.0,73.0,52.0,33.0,24.0,208.0,13811.0,12.0,9.27,17897.0,0.3,59.0,0.91,On-Time,1830212.5,1788230.0
549,Samba,Female,Urban,Locomotor,Nano Entrepreneur,Services,JKBK082052,33.0,76.0,19.0,69.0,21.0,212.0,24517.0,36.0,9.77,17897.0,0.3,44.0,0.78,Unknown,3492452.0,3388288.0
550,Doda,Male,Urban,Locomotor,Existing Enterprise,Agri,JKBK021968,14.0,15.0,13.0,65.0,39.0,188.0,107530.0,24.0,7.77,17897.0,0.3,48.0,0.13,Late,2739699.0,5741000.0
551,Kupwara,Unknown,Urban,Locomotor,Unknown,It,JKBK040914,31.0,32.0,21.0,62.0,3.0,164.0,37218.0,48.0,9.71,17897.0,0.3,30.0,0.51,Default,1830212.5,17687.0
552,Shopian,Female,Unknown,Multiple,Unknown,Services,JKBK082052,38.0,90.0,35.0,48.0,11.0,212.0,35803.0,24.0,12.43,17897.0,0.3,27.0,0.63,Unknown,2330099.0,3626936.0
553,Doda,Other,Rural,Hearing,Existing Enterprise,It,JKBK059505,40.0,28.0,10.0,108.0,38.0,212.0,16527.0,35.12,11.93,17897.0,0.3,63.0,0.01,On-Time,1830212.5,2128.0
554,Poonch,Male,Urban,Multiple,Existing Enterprise,It,JKBK023085,8.0,37.0,35.0,54.0,42.0,176.0,67084.0,18.0,7.87,17897.0,0.3,76.0,0.74,Late,4765000.0,2435939.0
555,Baramulla,Other,Rural,Unknown,Msme Sunrise Sector,Retail,JKBK045668,24.0,86.0,22.0,42.0,8.0,182.0,32489.0,35.12,8.11,17897.0,0.3,93.0,0.93,Default,2622926.0,6429.0
556,Baramulla,Female,Urban,Unknown,Msme Sunrise Sector,Tourism,JKBK034322,9.0,67.0,33.0,60.0,29.0,198.0,110024.0,24.0,11.03,17897.0,0.3,65.0,0.89,Unknown,2576467.0,5193000.0
557,Doda,Female,Urban,Locomotor,Nano Entrepreneur,It,JKBK012835,1.0,29.0,32.0,16.0,37.0,188.0,84048.0,60.0,8.47,17897.0,0.3,20.0,0.28,Default,9224.0,2301000.0
558,Doda,Male,Unknown,Unknown,Existing Enterprise,Agri,JKBK025665,28.0,40.0,31.0,65.0,33.0,188.0,75484.0,35.12,7.63,17897.0,0.3,98.0,0.68,On-Time,433053.0,50428.0
559,Samba,Unknown,Rural,Unknown,Nano Entrepreneur,Services,JKBK045668,24.0,72.0,51.0,35.0,6.0,188.0,27975.0,36.0,12.67,17897.0,0.3,25.0,0.3,Late,35904.0,2979614.0
560,Ganderbal,Other,Urban,Unknown,Msme Sunrise Sector,Tourism,JKBK041552,8.0,37.0,32.0,119.0,25.0,188.0,95732.0,35.12,12.65,17897.0,0.3,51.0,0.68,On-Time,1880135.0,2301000.0
561,Srinagar,Unknown,Unknown,Hearing,Existing Enterprise,Unknown,JKBK027983,14.0,67.0,32.0,42.0,24.0,188.0,52959.0,48.0,12.73,17897.0,0.3,70.0,0.15,Late,1241000.0,2301000.0
562,Doda,Other,Urban,Visual,Msme Sunrise Sector,Agri,JKBK089158,12.0,48.0,41.0,32.0,9.0,164.0,45638.0,36.0,10.32,17897.0,0.3,3.0,0.81,Late,1830212.5,1928000.0
563,Poonch,Female,Rural,Locomotor,Nano Entrepreneur,It,JKBK079910,20.0,36.0,32.0,72.0,32.0,188.0,27852.0,48.0,8.37,17897.0,0.3,49.0,0.23,Late,4265000.0,2193114.0
564,Baramulla,Unknown,Urban,Multiple,Nano Entrepreneur,Agri,JKBK042557,3.0,23.0,5.0,69.0,8.0,164.0,113297.0,60.0,11.43,17897.0,0.3,51.0,1.0,On-Time,3065000.0,2301000.0
565,Baramulla,Other,Rural,Locomotor,Msme Sunrise Sector,Agri,JKBK040778,37.0,12.0,7.0,39.0,24.0,188.0,113278.0,12.0,6.57,17897.0,0.3,89.0,0.16,Default,4797000.0,5096168.0
566,Reasi,Male,Rural,Unknown,Nano Entrepreneur,Healthcare,JKBK080949,16.0,14.0,45.0,113.0,22.0,210.0,102885.0,18.0,13.21,17897.0,0.3,92.0,0.51,Default,20533.0,1547799.0
567,Baramulla,Female,Rural,Unknown,Existing Enterprise,Healthcare,JKBK096895,19.0,70.0,55.0,120.0,27.0,212.0,24481.0,48.0,10.56,17897.0,0.3,51.0,0.38,Unknown,1830212.5,1077060.0
568,Doda,Female,Urban,Multiple,Msme Sunrise Sector,Unknown,JKBK048359,24.0,77.0,9.0,93.0,30.0,212.0,119094.0,48.0,9.77,17897.0,0.3,51.0,0.54,On-Time,1132822.0,2657261.0
569,Doda,Female,Urban,Unknown,Msme Sunrise Sector,Services,JKBK030952,24.0,50.0,18.0,65.0,8.0,188.0,114006.0,24.0,6.97,17897.0,0.3,31.0,0.96,Late,1783563.0,2301000.0
570,Baramulla,Female,Unknown,Unknown,Existing Enterprise,Services,JKBK026267,15.0,16.0,10.0,66.0,24.0,188.0,116428.0,36.0,10.84,17897.0,0.3,4.0,0.68,On-Time,11774.0,2301000.0
571,Anantnag,Other,Rural,Unknown,Existing Enterprise,Unknown,JKBK030255,36.0,20.0,33.0,8.0,35.0,164.0,64993.0,18.0,9.52,17897.0,0.3,4.0,0.0,Late,48920.0,883521.0
572,Pulwama,Male,Unknown,Visual,Msme Sunrise Sector,Services,JKBK045432,17.0,36.0,55.0,117.0,27.0,212.0,95981.0,24.0,7.96,17897.0,0.3,34.0,0.55,Default,4201842.0,2301000.0
573,Doda,Unknown,Urban,Unknown,Unknown,Services,JKBK040327,20.0,56.0,22.0,39.0,24.0,188.0,20675.0,24.0,12.11,17897.0,0.3,29.0,0.01,On-Time,113686.0,2998799.0
574,Udhampur,Male,Rural,Visual,Nano Entrepreneur,Healthcare,JKBK091592,38.0,89.0,51.0,109.0,24.0,188.0,13105.0,12.0,8.76,17897.0,0.3,35.0,0.99,Late,31528.0,2301000.0
575,Baramulla,Male,Rural,Locomotor,Nano Entrepreneur,Services,JKBK072127,12.0,63.0,28.0,119.0,23.0,212.0,22942.0,18.0,7.74,17897.0,0.3,56.0,0.21,On-Time,49500.0,3806892.0
576,Poonch,Unknown,Rural,Visual,Existing Enterprise,Unknown,JKBK059985,28.0,34.0,30.0,111.0,24.0,212.0,67676.0,36.0,11.67,17897.0,0.3,91.0,0.96,On-Time,2978346.0,2301000.0
577,Bandipora,Male,Rural,Visual,Existing Enterprise,Retail,JKBK065206,33.0,84.0,5.0,51.0,41.0,212.0,35234.0,24.0,7.06,17897.0,0.3,44.0,0.08,Default,48016.0,2753417.0
578,Kulgam,Unknown,Urban,Unknown,Existing Enterprise,Healthcare,JKBK060856,40.0,77.0,47.0,49.0,43.0,212.0,25349.0,36.0,13.69,17897.0,0.3,38.0,0.51,Default,871181.0,2301000.0
579,Pulwama,Male,Unknown,Unknown,Existing Enterprise,Healthcare,JKBK023085,20.0,7.0,38.0,65.0,33.0,188.0,86561.0,48.0,10.56,17897.0,0.3,94.0,0.75,Late,2290000.0,2301000.0
580,Ramban,Other,Urban,Multiple,Existing Enterprise,It,JKBK053447,5.0,48.0,52.0,65.0,6.0,188.0,55132.0,36.0,14.14,17897.0,0.3,36.0,0.99,On-Time,1830212.5,1753268.0
581,Reasi,Other,Unknown,Unknown,Nano Entrepreneur,Services,JKBK060718,26.0,57.0,6.0,68.0,24.0,188.0,29222.0,36.0,13.94,17897.0,0.3,17.0,0.3,On-Time,4006794.0,1780072.0
582,Samba,Unknown,Urban,Unknown,Existing Enterprise,Healthcare,JKBK048359,33.0,62.0,32.0,102.0,21.0,188.0,77333.0,36.0,8.97,17897.0,0.3,32.0,0.62,On-Time,5054021.0,693136.0
583,Ramban,Other,Urban,Hearing,Nano Entrepreneur,Tourism,JKBK044959,11.0,41.0,26.0,17.0,33.0,164.0,119895.0,48.0,8.73,17897.0,0.3,81.0,0.23,Late,429338.0,2301000.0
584,Jammu,Other,Rural,Unknown,Existing Enterprise,Agri,JKBK014688,30.0,58.0,35.0,65.0,4.0,188.0,64658.0,48.0,14.25,17897.0,0.3,28.0,0.56,Unknown,4016000.0,2335552.0
585,Srinagar,Unknown,Urban,Unknown,Existing Enterprise,Manufacturing,JKBK062215,12.0,83.0,53.0,58.0,38.0,212.0,15067.0,18.0,13.39,17897.0,0.3,100.0,0.29,Default,1714000.0,2301000.0
586,Reasi,Female,Rural,Visual,Msme Sunrise Sector,Agri,JKBK095239,26.0,65.0,24.0,34.0,37.0,186.0,100118.0,35.12,7.99,17897.0,0.3,13.0,0.16,Default,3280000.0,2144000.0
587,Pulwama,Female,Urban,Hearing,Msme Sunrise Sector,Healthcare,JKBK041667,7.0,78.0,52.0,116.0,24.0,188.0,48511.0,36.0,8.19,17897.0,0.3,97.0,0.35,Late,1830212.5,1009.0
588,Jammu,Male,Unknown,Visual,Existing Enterprise,Healthcare,JKBK035657,30.0,56.0,32.0,34.0,19.0,188.0,115806.0,36.0,9.04,17897.0,0.3,26.0,0.08,Default,29547.0,2301000.0
589,Rajouri,Unknown,Urban,Unknown,Unknown,Retail,JKBK075986,23.0,16.0,23.0,13.0,23.0,164.0,56333.0,36.0,12.56,17897.0,0.3,32.0,0.42,Late,4481594.0,2301000.0
590,Shopian,Other,Rural,Hearing,Unknown,Services,JKBK082921,5.0,81.0,5.0,86.0,34.0,211.0,27876.0,36.0,8.78,17897.0,0.3,36.0,0.11,On-Time,3207000.0,31819.0
591,Pulwama,Other,Unknown,Multiple,Existing Enterprise,Manufacturing,JKBK091679,13.0,10.0,35.0,107.0,39.0,204.0,29762.0,24.0,12.1,17897.0,0.3,20.0,0.32,On-Time,1830212.5,2960000.0
592,Poonch,Female,Rural,Multiple,Msme Sunrise Sector,Tourism,JKBK093771,40.0,63.0,53.0,91.0,2.0,212.0,105950.0,60.0,13.36,17897.0,0.3,58.0,0.25,Default,47687.0,5542408.0
593,Doda,Other,Rural,Unknown,Existing Enterprise,Retail,JKBK027907,4.0,89.0,26.0,54.0,24.0,188.0,32946.0,24.0,8.58,17897.0,0.3,45.0,0.5,Default,3707000.0,2039000.0
594,Budgam,Other,Unknown,Hearing,Msme Sunrise Sector,Tourism,JKBK069621,39.0,89.0,48.0,85.0,32.0,212.0,63326.0,48.0,8.27,17897.0,0.3,77.0,0.99,On-Time,886000.0,1570317.0
595,Pulwama,Other,Urban,Unknown,Existing Enterprise,Unknown,JKBK025283,24.0,13.0,16.0,99.0,33.0,185.0,84265.0,12.0,7.19,17897.0,0.3,29.0,0.89,Late,1673789.0,4842676.0
596,Poonch,Male,Rural,Locomotor,Nano Entrepreneur,Tourism,JKBK019317,20.0,81.0,40.0,88.0,35.0,188.0,18318.0,35.12,10.77,17897.0,0.3,51.0,0.07,Unknown,48764.0,3681000.0
597,Doda,Male,Rural,Multiple,Existing Enterprise,Manufacturing,JKBK020889,10.0,48.0,8.0,42.0,8.0,188.0,51931.0,24.0,11.09,17897.0,0.3,9.0,0.41,Default,1610000.0,5577504.0
598,Rajouri,Male,Unknown,Hearing,Nano Entrepreneur,Services,JKBK063952,13.0,32.0,46.0,108.0,32.0,212.0,92768.0,18.0,7.51,17897.0,0.3,19.0,0.9,Default,1471000.0,1516356.0
599,Shopian,Male,Urban,Unknown,Existing Enterprise,Retail,JKBK057863,18.0,47.0,27.0,38.0,19.0,164.0,57241.0,36.0,12.84,17897.0,0.3,14.0,0.05,On-Time,1025984.0,4498866.0
600,Anantnag,Male,Urban,Hearing,Nano Entrepreneur,Unknown,JKBK044124,20.0,61.0,20.0,55.0,7.0,188.0,63276.0,18.0,7.73,17897.0,0.3,78.0,0.32,Default,2631000.0,7828.0
601,Kulgam,Other,Rural,Unknown,Unknown,Services,JKBK087182,15.0,37.0,7.0,111.0,2.0,172.0,107429.0,24.0,8.0,17897.0,0.3,7.0,0.51,Late,1830212.5,2626495.0
602,Anantnag,Female,Urban,Unknown,Unknown,It,JKBK075473,16.0,38.0,32.0,53.0,18.0,188.0,84164.0,24.0,11.8,17897.0,0.3,19.0,0.51,On-Time,1292000.0,2885621.0
603,Anantnag,Unknown,Rural,Unknown,Nano Entrepreneur,Healthcare,JKBK080436,23.0,18.0,47.0,105.0,45.0,212.0,90795.0,35.12,14.16,17897.0,0.3,84.0,0.64,Unknown,1942067.0,827438.0
604,Kishtwar,Female,Unknown,Visual,Existing Enterprise,Healthcare,JKBK037524,20.0,76.0,12.0,65.0,39.0,188.0,63295.0,18.0,6.76,17897.0,0.3,71.0,0.21,Late,4578092.0,5306000.0
605,Kathua,Female,Urban,Unknown,Existing Enterprise,Manufacturing,JKBK013021,40.0,61.0,46.0,88.0,10.0,212.0,107713.0,48.0,9.8,17897.0,0.3,77.0,0.64,Default,4237517.0,2301000.0
606,Udhampur,Female,Urban,Multiple,Existing Enterprise,Services,JKBK051814,16.0,87.0,15.0,65.0,24.0,188.0,18638.0,18.0,8.05,17897.0,0.3,38.0,0.25,Unknown,478000.0,2301000.0
607,Reasi,Male,Urban,Multiple,Msme Sunrise Sector,Services,JKBK026826,20.0,32.0,52.0,99.0,2.0,188.0,66123.0,48.0,7.56,17897.0,0.3,59.0,0.26,Late,1830212.5,53205.0
608,Samba,Unknown,Rural,Hearing,Nano Entrepreneur,Services,JKBK087182,0.0,29.0,39.0,111.0,45.0,212.0,76936.0,24.0,7.0,17897.0,0.3,68.0,0.85,On-Time,2906945.0,2285000.0
609,Doda,Female,Rural,Unknown,Msme Sunrise Sector,Unknown,JKBK069621,18.0,68.0,52.0,85.0,22.0,212.0,67877.0,18.0,14.47,17897.0,0.3,72.0,0.79,Late,1830212.5,2301000.0
610,Ganderbal,Female,Urban,Unknown,Existing Enterprise,Unknown,JKBK022737,20.0,65.0,31.0,65.0,24.0,188.0,64658.0,48.0,9.19,17897.0,0.3,3.0,0.21,On-Time,3709345.0,2301000.0
611,Rajouri,Female,Rural,Unknown,Nano Entrepreneur,Tourism,JKBK011510,25.0,44.0,49.0,37.0,34.0,189.0,72691.0,18.0,13.81,17897.0,0.3,39.0,0.28,Late,4841613.0,6409000.0
612,Srinagar,Unknown,Unknown,Unknown,Msme Sunrise Sector,Retail,JKBK032290,9.0,22.0,28.0,67.0,3.0,164.0,111684.0,12.0,9.87,17897.0,0.3,81.0,0.88,Default,2094924.0,1092025.0
613,Bandipora,Female,Rural,Unknown,Existing Enterprise,Retail,JKBK017173,2.0,62.0,54.0,110.0,23.0,212.0,73397.0,60.0,7.23,17897.0,0.3,52.0,0.53,Late,1830212.5,19768.0
614,Poonch,Female,Unknown,Hearing,Unknown,Unknown,JKBK029049,3.0,82.0,36.0,65.0,15.0,188.0,78218.0,18.0,10.56,17897.0,0.3,79.0,0.05,On-Time,34296.0,1300000.0
615,Kupwara,Other,Urban,Visual,Nano Entrepreneur,Agri,JKBK094497,20.0,84.0,26.0,89.0,40.0,188.0,88368.0,12.0,10.64,17897.0,0.3,70.0,0.24,Late,538549.0,2301000.0
616,Kupwara,Female,Urban,Unknown,Existing Enterprise,Services,JKBK037592,16.0,27.0,4.0,68.0,22.0,164.0,67226.0,48.0,11.7,17897.0,0.3,57.0,0.35,Default,2033821.0,21164.0
617,Budgam,Female,Urban,Unknown,Unknown,It,JKBK067164,8.0,75.0,8.0,118.0,25.0,212.0,112741.0,36.0,10.95,17897.0,0.3,91.0,0.81,On-Time,2959303.0,2301000.0
618,Udhampur,Female,Rural,Unknown,Nano Entrepreneur,Services,JKBK025779,20.0,73.0,60.0,120.0,28.0,188.0,60085.0,12.0,10.56,17897.0,0.3,51.0,0.51,Late,5875495.0,268810.0
619,Bandipora,Male,Rural,Unknown,Nano Entrepreneur,Manufacturing,JKBK025888,20.0,16.0,3.0,80.0,38.0,188.0,25177.0,48.0,11.75,17897.0,0.3,99.0,0.35,Unknown,2841468.0,103000.0
620,Jammu,Other,Unknown,Unknown,Existing Enterprise,Agri,JKBK010690,23.0,7.0,26.0,53.0,30.0,164.0,109328.0,18.0,13.89,17897.0,0.3,66.0,0.97,Default,1830212.5,59346.0
621,Jammu,Male,Rural,Unknown,Msme Sunrise Sector,Manufacturing,JKBK069143,19.0,46.0,29.0,65.0,24.0,188.0,81638.0,48.0,11.3,17897.0,0.3,84.0,0.08,Late,1830212.5,1306356.0
622,Ganderbal,Other,Unknown,Unknown,Nano Entrepreneur,Tourism,JKBK086347,16.0,59.0,44.0,65.0,43.0,188.0,64155.0,36.0,13.43,17897.0,0.3,29.0,0.04,Late,48606.0,2301000.0
623,Ganderbal,Other,Unknown,Locomotor,Nano Entrepreneur,It,JKBK034482,13.0,54.0,56.0,88.0,7.0,212.0,91103.0,24.0,7.08,17897.0,0.3,77.0,0.15,Default,1830212.5,4563015.0
624,Udhampur,Other,Urban,Visual,Existing Enterprise,Services,JKBK049320,5.0,87.0,57.0,101.0,24.0,188.0,57779.0,24.0,8.9,17897.0,0.3,69.0,0.66,On-Time,4585000.0,2301000.0
625,Kishtwar,Male,Urban,Locomotor,Existing Enterprise,Healthcare,JKBK048207,33.0,35.0,52.0,65.0,19.0,188.0,64056.0,24.0,12.27,17897.0,0.3,98.0,0.57,On-Time,2235708.0,27530.0
626,Udhampur,Other,Unknown,Unknown,Existing Enterprise,Tourism,JKBK071097,34.0,32.0,59.0,35.0,28.0,188.0,24978.0,24.0,9.62,17897.0,0.3,17.0,0.42,On-Time,2083671.0,5435258.0
627,Anantnag,Male,Urban,Hearing,Unknown,Tourism,JKBK086991,31.0,11.0,45.0,86.0,22.0,195.0,69675.0,35.12,7.59,17897.0,0.3,87.0,0.89,Default,3624000.0,5074054.0
628,Srinagar,Female,Urban,Unknown,Nano Entrepreneur,Services,JKBK062214,19.0,44.0,42.0,26.0,37.0,168.0,92189.0,18.0,9.57,17897.0,0.3,4.0,0.44,Default,1830212.5,1130112.0
629,Bandipora,Male,Urban,Unknown,Msme Sunrise Sector,Healthcare,JKBK043629,16.0,38.0,30.0,35.0,37.0,164.0,75682.0,12.0,9.53,17897.0,0.3,51.0,0.87,Default,43138.0,59889.0
630,Poonch,Female,Rural,Locomotor,Nano Entrepreneur,Healthcare,JKBK025091,31.0,45.0,58.0,77.0,24.0,188.0,101366.0,12.0,9.26,17897.0,0.3,81.0,0.42,Late,1582100.0,2301000.0
631,Anantnag,Male,Rural,Unknown,Msme Sunrise Sector,Tourism,JKBK042887,20.0,63.0,32.0,42.0,24.0,188.0,90980.0,12.0,8.6,17897.0,0.3,26.0,0.51,Unknown,45238.0,5564917.0
632,Bandipora,Female,Urban,Locomotor,Existing Enterprise,Unknown,JKBK070817,27.0,39.0,32.0,92.0,39.0,188.0,42811.0,60.0,14.45,17897.0,0.3,31.0,0.45,Late,23084.0,39456.0
633,Pulwama,Other,Rural,Unknown,Existing Enterprise,Healthcare,JKBK074756,20.0,34.0,5.0,105.0,13.0,177.0,40063.0,12.0,9.9,17897.0,0.3,37.0,0.71,Late,153000.0,2301000.0
634,Anantnag,Male,Unknown,Unknown,Msme Sunrise Sector,Manufacturing,JKBK050046,18.0,43.0,39.0,65.0,15.0,188.0,97372.0,18.0,10.56,17897.0,0.3,37.0,0.68,On-Time,1467000.0,20348.0
635,Kathua,Male,Unknown,Unknown,Existing Enterprise,Services,JKBK048520,14.0,17.0,32.0,20.0,34.0,188.0,83673.0,60.0,11.92,17897.0,0.3,59.0,0.76,On-Time,5141822.0,19594.0
636,Samba,Unknown,Rural,Hearing,Existing Enterprise,Services,JKBK039783,40.0,57.0,45.0,110.0,11.0,212.0,88286.0,12.0,10.81,17897.0,0.3,94.0,0.59,Late,1830212.5,2301000.0
637,Bandipora,Unknown,Rural,Visual,Msme Sunrise Sector,It,JKBK051895,9.0,31.0,48.0,17.0,34.0,164.0,72401.0,24.0,7.85,17897.0,0.3,81.0,0.62,Unknown,1142160.0,38436.0
638,Budgam,Female,Urban,Unknown,Msme Sunrise Sector,Agri,JKBK093764,20.0,49.0,29.0,86.0,27.0,188.0,40683.0,36.0,11.33,17897.0,0.3,62.0,0.02,Late,541396.0,211000.0
639,Anantnag,Male,Urban,Locomotor,Nano Entrepreneur,Retail,JKBK093764,26.0,19.0,18.0,118.0,27.0,208.0,115106.0,35.12,6.54,17897.0,0.3,9.0,0.72,Default,1830212.5,3940486.0
640,Rajouri,Male,Urban,Hearing,Nano Entrepreneur,Healthcare,JKBK049169,37.0,78.0,32.0,34.0,22.0,188.0,64317.0,36.0,12.08,17897.0,0.3,28.0,0.53,Default,2084000.0,2301000.0
641,Baramulla,Other,Unknown,Hearing,Msme Sunrise Sector,Retail,JKBK069314,3.0,77.0,13.0,60.0,24.0,188.0,97417.0,48.0,8.54,17897.0,0.3,51.0,0.11,Late,3122281.0,3908000.0
642,Samba,Female,Unknown,Unknown,Existing Enterprise,Tourism,JKBK072736,20.0,51.0,37.0,70.0,24.0,188.0,105599.0,60.0,12.7,17897.0,0.3,60.0,0.38,Default,1830212.5,49855.0
643,Ganderbal,Female,Urban,Unknown,Unknown,Unknown,JKBK086267,20.0,68.0,38.0,31.0,24.0,188.0,119627.0,18.0,8.15,17897.0,0.3,45.0,0.74,Unknown,31782.0,979.0
644,Pulwama,Other,Urban,Hearing,Unknown,Unknown,JKBK028987,34.0,55.0,17.0,44.0,22.0,172.0,83639.0,12.0,11.92,17897.0,0.3,87.0,0.51,On-Time,3711802.0,2252851.0
645,Shopian,Female,Rural,Hearing,Nano Entrepreneur,Unknown,JKBK067234,35.0,20.0,40.0,30.0,43.0,168.0,72263.0,48.0,10.56,17897.0,0.3,36.0,0.9,Late,4027398.0,24847.0
646,Bandipora,Unknown,Unknown,Unknown,Nano Entrepreneur,Services,JKBK020889,26.0,48.0,52.0,65.0,44.0,188.0,101976.0,35.12,10.56,17897.0,0.3,8.0,0.27,Default,3243000.0,6778187.0
647,Poonch,Female,Urban,Unknown,Nano Entrepreneur,Healthcare,JKBK075986,11.0,48.0,33.0,46.0,25.0,188.0,19127.0,60.0,11.31,17897.0,0.3,47.0,0.73,Default,3088976.0,2301000.0
648,Jammu,Female,Urban,Multiple,Msme Sunrise Sector,Agri,JKBK037592,15.0,40.0,9.0,80.0,26.0,170.0,16019.0,60.0,9.58,17897.0,0.3,12.0,0.44,Late,2426328.0,2301000.0
649,Anantnag,Female,Urban,Visual,Msme Sunrise Sector,Manufacturing,JKBK069483,35.0,20.0,17.0,11.0,24.0,188.0,94405.0,18.0,7.2,17897.0,0.3,27.0,0.73,On-Time,1830212.5,6485540.0
650,Kishtwar,Female,Rural,Unknown,Existing Enterprise,It,JKBK072127,21.0,48.0,22.0,16.0,3.0,188.0,111221.0,48.0,7.67,17897.0,0.3,83.0,0.27,On-Time,1830212.5,2722783.0
651,Kathua,Other,Urban,Unknown,Unknown,Healthcare,JKBK048207,34.0,58.0,38.0,116.0,24.0,188.0,86889.0,60.0,13.57,17897.0,0.3,71.0,0.34,Default,3617448.0,5202376.0
652,Samba,Female,Unknown,Unknown,Existing Enterprise,Agri,JKBK048520,5.0,48.0,31.0,109.0,35.0,188.0,75271.0,18.0,11.32,17897.0,0.3,51.0,0.15,Late,1830212.5,6165455.0
653,Bandipora,Male,Rural,Multiple,Unknown,Agri,JKBK062055,14.0,55.0,50.0,64.0,29.0,212.0,90857.0,48.0,6.71,17897.0,0.3,35.0,0.72,On-Time,5197006.0,3051350.0
654,Baramulla,Male,Urban,Multiple,Unknown,Retail,JKBK032497,8.0,88.0,55.0,46.0,8.0,205.0,117603.0,12.0,13.21,17897.0,0.3,11.0,0.24,On-Time,4279000.0,4506000.0
655,Samba,Female,Urban,Unknown,Nano Entrepreneur,Unknown,JKBK078157,9.0,19.0,26.0,23.0,24.0,188.0,64658.0,48.0,10.61,17897.0,0.3,17.0,0.74,On-Time,38261.0,17713.0
656,Samba,Other,Unknown,Unknown,Nano Entrepreneur,Services,JKBK032167,36.0,30.0,32.0,103.0,3.0,188.0,46417.0,35.12,11.44,17897.0,0.3,14.0,0.49,Unknown,1830212.5,5516229.0
657,Jammu,Female,Rural,Unknown,Nano Entrepreneur,Services,JKBK037043,20.0,81.0,32.0,65.0,43.0,188.0,98545.0,36.0,13.55,17897.0,0.3,92.0,0.2,Default,1387000.0,1402000.0
658,Bandipora,Male,Unknown,Visual,Nano Entrepreneur,Manufacturing,JKBK036491,12.0,12.0,13.0,8.0,38.0,164.0,33980.0,60.0,8.43,17897.0,0.3,23.0,0.14,Late,22053.0,2301000.0
659,Jammu,Male,Urban,Unknown,Nano Entrepreneur,Unknown,JKBK067164,10.0,88.0,35.0,70.0,28.0,212.0,48256.0,12.0,9.7,17897.0,0.3,42.0,0.51,On-Time,4828000.0,5899598.0
660,Kupwara,Other,Unknown,Locomotor,Existing Enterprise,It,JKBK043629,20.0,68.0,7.0,45.0,11.0,188.0,22638.0,36.0,10.14,17897.0,0.3,78.0,0.5,On-Time,1073341.0,2301000.0
661,Rajouri,Female,Rural,Multiple,Existing Enterprise,Unknown,JKBK021038,24.0,62.0,14.0,51.0,5.0,164.0,73346.0,18.0,10.56,17897.0,0.3,36.0,0.1,Late,1978910.0,1458051.0
662,Kupwara,Male,Rural,Multiple,Unknown,It,JKBK089681,30.0,18.0,56.0,65.0,42.0,188.0,113860.0,36.0,11.68,17897.0,0.3,71.0,0.57,Late,4410000.0,2301000.0
663,Kulgam,Female,Unknown,Unknown,Nano Entrepreneur,Agri,JKBK099411,20.0,74.0,28.0,33.0,22.0,188.0,91195.0,24.0,7.37,17897.0,0.3,34.0,0.1,Default,49948.0,2099338.0
664,Rajouri,Unknown,Unknown,Unknown,Msme Sunrise Sector,It,JKBK062055,40.0,47.0,32.0,65.0,7.0,188.0,108481.0,36.0,12.71,17897.0,0.3,73.0,0.8,On-Time,1830212.5,2342880.0
665,Kathua,Unknown,Urban,Visual,Unknown,Unknown,JKBK027983,24.0,19.0,32.0,65.0,24.0,188.0,88057.0,35.12,10.23,17897.0,0.3,54.0,0.66,Late,3909966.0,45133.0
