Application ID,District Name,Gender,Residential Type,Specially Abled Type,Enterprise Type,Sector,IFSC Code,Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Days_to_SBDU_Verification,Days_to_DLIC_Approval,Days_to_Bank_Sanction,Days_to_Disbursement,Total_TAT_Days,Loan Amount (Mixed Units),Project Cost (Mixed Units),Applicant_Monthly_Income,Loan_Tenure_Months,Interest_Rate_%,EMI_Amount,EMI_to_Income_Ratio,Risk_Score,Credit_Eligibility_Score,Repayment_Status,Days_Overdue
3502.0,Ramban,FEMALE,Rural,,MSME Sunrise Sector,,JKBK059505,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,,6.0,94.0,17.0,,2958912,6455433,86788.0,24.0,7.76,16413.0,0.189,74.0,0.72,,0.0
3503.0,Ganderbal,Male,,,,,JKBK030255,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,79.0,20.0,114.0,2.0,245.0,2330k INR,$16152,62663.0,36.0,7.61,,,68.0,0.77,On-time,0.0
3504.0,Shopian,,urban ,Locomotor,Nano Entrepreneur,Healthcare,JKBK037553,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,89.0,30.0,74.0,,,5327195,$22414,115794.0,,13.11,,,23.0,0.32,late,12.0
3505.0,Poonch,,rural,Multiple,Existing enterprise,Agri,JKBK045432,12/12/2023,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,56.0,,62.0,19.0,,2620k INR,5468k INR,45848.0,18.0,9.25,18839.0,0.411,58.0,0.33,late,23.0
3506.0,Reasi,Other,rural,Locomotor,Existing enterprise,Manufacturing,JKBK022929,12-3-2021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,12.0,104.0,11.0,164.0,2486k INR,₹65180,21215.0,36.0,7.21,,,98.0,0.1,,0.0
3507.0,Kulgam,Other,urban ,Locomotor,nano entrepreneur,Retail,JKBK012532,As on Feb 2026,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,56.0,,113.0,22.0,,$33238,₹2139348,48838.0,24.0,10.41,,,8.0,0.58,On-time,0.0
3508.0,Bandipora,male ,Rural,,Existing Enterprise,Services,JKBK067956,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,62.0,36.0,106.0,33.0,239.0,5253204,₹4726933,91520.0,48.0,8.8,,,97.0,0.02,,0.0
3508.0,Ganderbal,Male,Rural,,Nano Entrepreneur,IT,JKBK091122,As on Feb 2026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,68.0,11.0,68.0,32.0,193.0,$13284,₹3828635,44365.0,,11.9,,,46.0,,On-time,0.0
3510.0,Doda,Female,Urban,,Nano Entrepreneur,Services,JKBK075986,8-26-2024,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,51.0,33.0,88.0,,,₹3392043,5403257,,60.0,8.84,,,43.0,0.3,,0.0
3511.0,Poonch,FEMALE,rural,,nano entrepreneur,,JKBK065206,2022-03-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,27.0,,86.0,25.0,,1793456,2004807,58702.0,24.0,12.92,11542.0,0.197,,0.22,On-time,0.0
3512.0,Baramulla,FEMALE,urban ,Visual,MSME Sunrise Sector,,JKBK013840,21/7/2025,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,42.0,37.0,106.0,42.0,,,4914k INR,42013.0,12.0,14.27,,,63.0,0.49,,0.0
3513.0,Ramban,,Urban,Multiple,Nano Entrepreneur,Services,JKBK092458,9-5-2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,63.0,8.0,105.0,4.0,209.0,4358355,,41739.0,,10.18,,,29.0,0.07,Default,0.0
3514.0,Udhampur,Other,Urban,,Existing Enterprise,Agri,JKBK062302,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,31.0,61.0,6.0,,,,,2601k INR,42231.0,,10.07,,,20.0,0.75,On-time,0.0
3515.0,Reasi,Male,rural,,Existing enterprise,Retail,JKBK066668,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,52.0,8.0,48.0,38.0,,178k INR,4638037,,,9.67,,,66.0,0.32,Default,0.0
3516.0,Doda,,Rural,Hearing,Nano Entrepreneur,IT,JKBK039888,As on Feb 2026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,,43.0,96.0,41.0,,₹1969876,₹546415,43672.0,12.0,11.11,12454.0,0.285,31.0,0.11,Default,0.0
3517.0,Budgam,Female,rural,,,Services,JKBK019317,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,65.0,59.0,19.0,22.0,205.0,₹2324465,1351k INR,12896.0,,9.74,,,16.0,0.91,Delayed,0.0
3518.0,Reasi,Female,Urban,Locomotor,Nano Entrepreneur,Services,JKBK033776,2021-11-09,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,76.0,,87.0,33.0,,$9180,,108145.0,60.0,13.85,,,79.0,0.05,ONTIME,0.0
3519.0,Udhampur,male ,,Visual,MSME Sunrise Sector,IT,JKBK016473,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,42.0,104.0,9.0,197.0,,$23889,38047.0,48.0,8.09,,,38.0,0.82,,0.0
3520.0,Kulgam,male ,Rural,,,Healthcare,JKBK011525,As on Feb 2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,21.0,47.0,95.0,15.0,180.0,,4962k INR,50889.0,60.0,7.8,,,1.0,0.7,On-time,0.0
3521.0,Ganderbal,Male,urban ,,Existing enterprise,Tourism,JKBK092433,As on Feb 2026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,57.0,21.0,,,,$36576,,18292.0,60.0,10.46,,,95.0,0.36,late,0.0
3522.0,Doda,FEMALE,Urban,Hearing,nano entrepreneur,Tourism,JKBK075986,8/2/2025,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,38.0,112.0,42.0,,,1915829,75962.0,48.0,9.18,,,,0.15,Default,0.0
3523.0,Baramulla,Other,urban ,Locomotor,Nano Entrepreneur,Healthcare,JKBK036491,2025-05-26,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,15.0,12.0,,2.0,,₹4916850,5479344,103626.0,18.0,6.59,,,82.0,0.54,,0.0
3524.0,Shopian,Male,,Locomotor,nano entrepreneur,,JKBK082931,6/6/2025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,36.0,9.0,47.0,2.0,100.0,,₹2958351,,24.0,8.57,,,90.0,0.36,,0.0
3525.0,Poonch,Male,urban ,Visual,,Retail,JKBK054309,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,10.0,4.0,,14.0,,3259k INR,,67723.0,24.0,13.5,,,41.0,0.75,Delayed,0.0
3526.0,Bandipora,FEMALE,Rural,,MSME Sunrise Sector,Agri,JKBK037592,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,19.0,20.0,120.0,28.0,195.0,,5159526,77404.0,18.0,10.74,34761.0,0.449,96.0,,On-time,0.0
3527.0,Doda,male ,rural,,MSME Sunrise Sector,Manufacturing,JKBK087893,3/11/2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,18.0,,37.0,,₹4265731,,80576.0,,8.64,,,80.0,0.27,,0.0
3528.0,Shopian,Other,,,Existing Enterprise,Healthcare,JKBK054843,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,29.0,84.0,37.0,41.0,37.0,228.0,4111k INR,3752667,42207.0,18.0,11.26,,,77.0,0.99,ONTIME,46.0
3529.0,Bandipora,male ,urban ,,MSME Sunrise Sector,Services,JKBK076425,1-6-2026,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,49.0,33.0,61.0,7.0,155.0,₹471056,,54251.0,48.0,12.47,16197.0,0.299,5.0,0.4,late,0.0
3530.0,Reasi,FEMALE,Urban,Hearing,Existing enterprise,Tourism,JKBK070817,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,20.0,59.0,20.0,109.0,30.0,238.0,,4945620,,36.0,6.66,,,78.0,0.11,ONTIME,0.0
3531.0,Budgam,FEMALE,urban ,,Existing enterprise,Tourism,JKBK038869,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,16.0,53.0,31.0,161.0,₹2018995,,49268.0,18.0,9.16,,,46.0,0.21,Delayed,0.0
3532.0,Pulwama,,Rural,Hearing,MSME Sunrise Sector,,JKBK011510,5-9-2022,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,86.0,54.0,107.0,5.0,267.0,3360k INR,,66005.0,60.0,12.45,,,41.0,0.81,On-time,0.0
3533.0,Baramulla,Female,,Multiple,Existing Enterprise,Tourism,JKBK063746,7-9-2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,47.0,100.0,,,,80249,26983.0,48.0,7.67,,,61.0,0.23,late,0.0
3534.0,Jammu,,Urban,Visual,nano entrepreneur,Tourism,JKBK088761,2024-04-23,1.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,54.0,,114.0,,,₹2077646,$13801,87306.0,36.0,14.08,,,49.0,0.84,Delayed,162.0
3535.0,Reasi,Female,urban ,,nano entrepreneur,Tourism,JKBK062020,10/9/2024,1.0,1.0,0.0,1.0,1.0,1.0,0.0,28.0,46.0,45.0,9.0,43.0,171.0,$28198,$29556,94544.0,12.0,10.0,40107.0,0.424,99.0,0.56,late,0.0
3536.0,Kupwara,FEMALE,urban ,,Existing Enterprise,Healthcare,JKBK083848,8-5-2023,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,10.0,40.0,52.0,32.0,167.0,4676498,₹1256853,55911.0,60.0,12.81,,,24.0,0.07,late,0.0
3537.0,Ganderbal,FEMALE,Urban,Visual,Nano Entrepreneur,Retail,JKBK077804,8/9/2024,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,42.0,57.0,25.0,11.0,165.0,,1782k INR,119251.0,24.0,10.03,49559.0,0.416,60.0,0.72,Delayed,0.0
3538.0,Reasi,Other,,,Existing enterprise,Retail,JKBK044959,2-6-2023,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,27.0,27.0,64.0,42.0,182.0,4098399,$34550,80565.0,48.0,12.9,,,52.0,0.22,late,168.0
3539.0,Reasi,Female,urban ,,,,JKBK054309,11/5/2024,1.0,1.0,1.0,1.0,1.0,0.0,0.0,24.0,13.0,14.0,51.0,31.0,133.0,₹3638414,2568k INR,83040.0,48.0,8.51,,,,0.19,On-time,0.0
3540.0,Shopian,FEMALE,,,MSME Sunrise Sector,Healthcare,JKBK040327,20/2/2023,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,11.0,25.0,81.0,20.0,145.0,$47369,4180k INR,,18.0,13.45,,,4.0,0.34,ONTIME,58.0
3541.0,Pulwama,FEMALE,Urban,Hearing,,Retail,JKBK011525,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,17.0,45.0,28.0,31.0,140.0,₹2414551,$31659,80336.0,60.0,11.99,22724.0,0.283,92.0,0.24,,0.0
3542.0,Anantnag,Female,urban ,Multiple,MSME Sunrise Sector,IT,JKBK021968,2-22-2025,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40.0,71.0,22.0,52.0,33.0,218.0,$47006,$11188,78892.0,60.0,11.4,19295.0,0.245,,0.36,Delayed,0.0
3543.0,Doda,male ,Rural,Multiple,Existing enterprise,Manufacturing,JKBK024294,1/4/2021,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,20.0,,70.0,28.0,,836355,$45734,115471.0,,9.4,,,71.0,0.89,late,0.0
3544.0,Jammu,FEMALE,urban ,Multiple,Existing Enterprise,Tourism,JKBK033628,2022-09-06,1.0,1.0,0.0,1.0,1.0,1.0,1.0,27.0,76.0,6.0,10.0,6.0,125.0,₹799627,,52317.0,60.0,7.66,23477.0,0.449,,0.78,,0.0
3545.0,Baramulla,FEMALE,rural,Locomotor,Existing enterprise,Healthcare,JKBK071310,4-11-2022,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,,41.0,104.0,40.0,,$12445,$34072,68853.0,48.0,12.35,,,73.0,0.68,On-time,0.0
3546.0,Reasi,,,Visual,Nano Entrepreneur,,JKBK051814,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,55.0,60.0,44.0,166.0,₹4253681,₹1445233,62063.0,,6.68,,,93.0,0.84,late,0.0
3547.0,Budgam,,urban ,Hearing,nano entrepreneur,Services,JKBK087182,8-2-2022,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,58.0,23.0,110.0,15.0,213.0,1839453,₹5590014,119487.0,,12.33,,,88.0,0.53,,127.0
3548.0,Ganderbal,,Rural,Multiple,Existing enterprise,IT,JKBK047327,2022-10-20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,81.0,52.0,17.0,35.0,215.0,,$2736,83220.0,,13.74,,,44.0,0.28,,0.0
3549.0,Kathua,Other,Urban,,Existing enterprise,Manufacturing,JKBK047140,2025-03-14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,51.0,54.0,16.0,35.0,174.0,$12814,$47251,,60.0,9.19,,,48.0,0.52,Default,0.0
3550.0,Ramban,Female,Urban,Locomotor,Existing Enterprise,Tourism,JKBK088761,2025-11-14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,51.0,11.0,35.0,34.0,,$6239,187k INR,53412.0,48.0,6.51,,,44.0,0.69,Delayed,0.0
3551.0,Shopian,Female,rural,,Existing enterprise,Agri,JKBK039888,11/2/2025,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,83.0,38.0,,39.0,,,2809408,17590.0,12.0,7.01,,,54.0,0.12,Default,0.0
3552.0,Doda,,rural,Hearing,Nano Entrepreneur,Manufacturing,JKBK012264,4-17-2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,17.0,63.0,28.0,32.0,40.0,180.0,2693775,4871735,93397.0,24.0,12.34,,,29.0,0.93,ONTIME,0.0
3553.0,Bandipora,,,Hearing,nano entrepreneur,IT,JKBK086231,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,38.0,34.0,39.0,,38.0,,₹3668199,4660156,70908.0,48.0,9.84,30854.0,0.435,56.0,0.57,On-time,0.0
3554.0,Kupwara,male ,urban ,Multiple,MSME Sunrise Sector,Manufacturing,JKBK094497,2026-01-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,41.0,,16.0,41.0,,$14484,,83857.0,48.0,13.79,,,68.0,0.1,,0.0
3555.0,Budgam,Male,rural,Multiple,Existing enterprise,IT,JKBK045432,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,53.0,20.0,116.0,31.0,232.0,3095672,,33647.0,60.0,8.83,,,27.0,0.94,Default,0.0
3556.0,Jammu,male ,rural,,MSME Sunrise Sector,Agri,JKBK061718,17/6/2022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,16.0,42.0,69.0,9.0,169.0,3498k INR,₹3165419,,60.0,11.6,,,81.0,0.98,Default,0.0
3557.0,Kishtwar,,,,,Tourism,JKBK083736,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,17.0,9.0,91.0,,,2200703,1238k INR,10861.0,18.0,9.78,,,66.0,0.05,late,0.0
3558.0,Kathua,Other,Urban,,Existing Enterprise,Agri,JKBK023004,2024-08-17,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,31.0,42.0,9.0,44.0,,,,56732.0,,12.18,,,,0.63,,0.0
3559.0,Kulgam,Female,urban ,,Existing Enterprise,Healthcare,JKBK066152,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,85.0,14.0,63.0,23.0,208.0,₹3716045,₹1008473,36787.0,,,,,80.0,0.37,late,0.0
3560.0,Samba,Other,rural,Visual,MSME Sunrise Sector,Healthcare,JKBK085326,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,34.0,118.0,15.0,238.0,,₹4223467,13582.0,24.0,12.95,,,77.0,0.11,Default,0.0
3561.0,Anantnag,Male,,Multiple,nano entrepreneur,,JKBK075287,19/7/2025,1.0,1.0,0.0,1.0,1.0,0.0,0.0,40.0,13.0,54.0,78.0,,,₹2262264,$44679,13886.0,18.0,14.3,,,25.0,0.67,Delayed,0.0
3562.0,Srinagar,FEMALE,,Locomotor,Nano Entrepreneur,IT,JKBK025888,8-23-2026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19.0,,39.0,43.0,42.0,,$20092,₹354175,15770.0,48.0,9.4,,,52.0,0.25,Default,0.0
3563.0,Kathua,Female,,Hearing,,Manufacturing,JKBK023004,2-16-2021,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,8.0,49.0,24.0,24.0,114.0,,,28704.0,36.0,11.12,,,,0.43,,175.0
3564.0,Doda,Female,Urban,Multiple,MSME Sunrise Sector,Tourism,JKBK026095,5/6/2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,45.0,58.0,92.0,,,1483k INR,6783572,98240.0,,6.92,,,9.0,0.03,late,0.0
3565.0,Samba,Other,,,Existing Enterprise,Healthcare,JKBK066766,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,18.0,18.0,32.0,110.0,4492k INR,5731560,23217.0,36.0,12.68,,,44.0,0.44,ONTIME,0.0
3566.0,Budgam,Male,Urban,,,,JKBK047358,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,4.0,113.0,8.0,149.0,2710563,5899k INR,,36.0,10.35,,,98.0,0.63,On-time,0.0
3567.0,Budgam,Other,Urban,Locomotor,Nano Entrepreneur,Manufacturing,JKBK026095,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,34.0,50.0,,,5717552,4613k INR,108966.0,48.0,12.76,,,76.0,0.36,ONTIME,0.0
3568.0,Rajouri,FEMALE,Rural,,nano entrepreneur,Services,JKBK037553,5-26-2023,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,78.0,27.0,88.0,4.0,219.0,,₹2003199,49411.0,24.0,7.17,7927.0,0.16,79.0,0.95,Default,129.0
3569.0,Doda,,urban ,,Existing Enterprise,Manufacturing,JKBK065206,2024-11-11,1.0,1.0,1.0,1.0,1.0,0.0,0.0,26.0,53.0,,,40.0,,3046010,,97988.0,18.0,12.93,,,11.0,0.53,late,118.0
3570.0,Kulgam,Other,Urban,Hearing,nano entrepreneur,Manufacturing,JKBK077806,As on Feb 2026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,75.0,,51.0,17.0,,$42790,,85224.0,18.0,10.63,28118.0,0.33,49.0,0.14,late,71.0
3571.0,Kathua,male ,Urban,,MSME Sunrise Sector,Tourism,JKBK088761,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,16.0,,77.0,13.0,,₹273545,$2245,52806.0,60.0,10.49,,,49.0,0.57,Delayed,0.0
3572.0,Samba,male ,Urban,Multiple,Existing Enterprise,Retail,JKBK031173,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,64.0,,41.0,30.0,,,$7469,24071.0,24.0,11.12,,,71.0,0.71,ONTIME,0.0
3573.0,Poonch,Other,rural,Multiple,Existing Enterprise,Tourism,JKBK084675,7/8/2023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,48.0,22.0,16.0,20.0,118.0,4335k INR,5884639,119526.0,60.0,8.3,,,86.0,0.43,On-time,0.0
3574.0,Shopian,FEMALE,Urban,,,Manufacturing,JKBK052454,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,48.0,44.0,44.0,33.0,191.0,₹748448,,118013.0,,9.09,,,66.0,0.6,,0.0
3575.0,Rajouri,male ,rural,,Nano Entrepreneur,Services,JKBK066152,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,40.0,36.0,105.0,9.0,,,$23507,36439.0,12.0,11.49,,,43.0,0.96,ONTIME,0.0
3576.0,Kulgam,Female,Urban,Visual,Existing enterprise,Healthcare,JKBK038869,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,31.0,65.0,31.0,177.0,,$18961,89537.0,18.0,14.19,,,81.0,0.81,,0.0
3577.0,Ganderbal,Other,Urban,Multiple,Nano Entrepreneur,Manufacturing,JKBK095239,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,48.0,47.0,,,,,2545667,85437.0,36.0,10.4,,,94.0,,ONTIME,10.0
3578.0,Jammu,,rural,Visual,Existing enterprise,,JKBK032713,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,39.0,90.0,45.0,10.0,8.0,192.0,$20708,$5030,23948.0,24.0,11.6,5106.0,0.213,22.0,0.33,,0.0
3579.0,Kupwara,,urban ,,nano entrepreneur,,JKBK020889,2021-10-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,14.0,26.0,,34.0,,2981k INR,,72112.0,48.0,13.05,11370.0,0.158,84.0,0.57,late,0.0
3580.0,Ganderbal,Other,Rural,,Existing Enterprise,Agri,JKBK020035,6/2/2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,67.0,15.0,32.0,,,2080k INR,$13070,82546.0,18.0,,,,12.0,0.25,Default,0.0
3581.0,Jammu,Female,rural,Locomotor,Nano Entrepreneur,IT,JKBK054644,21/6/2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,72.0,36.0,61.0,18.0,191.0,$26340,₹3005623,89156.0,48.0,10.95,34430.0,0.386,48.0,0.74,Default,0.0
3582.0,Udhampur,Other,,,,Tourism,JKBK027983,12-27-2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,12.0,27.0,56.0,45.0,155.0,3698k INR,1254k INR,46144.0,12.0,6.94,15774.0,0.342,38.0,0.61,,0.0
3583.0,Budgam,Female,Rural,,,Tourism,JKBK027436,As on Feb 2026,1.0,0.0,0.0,1.0,1.0,1.0,1.0,31.0,72.0,16.0,48.0,34.0,201.0,₹412055,2905k INR,71678.0,,12.27,,,22.0,0.18,late,0.0
3584.0,Jammu,male ,,,Nano Entrepreneur,Healthcare,JKBK016355,As on Feb 2026,1.0,0.0,0.0,1.0,1.0,1.0,1.0,33.0,29.0,9.0,,11.0,,4147951,₹2417484,115576.0,60.0,11.69,39644.0,0.343,73.0,0.47,,0.0
3585.0,Shopian,Other,Rural,,nano entrepreneur,Healthcare,JKBK073263,2026-02-18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,41.0,46.0,102.0,29.0,229.0,2276k INR,$35917,88795.0,18.0,9.53,,,88.0,,On-time,0.0
3586.0,Anantnag,,,Hearing,MSME Sunrise Sector,Agri,JKBK031129,7-5-2021,1.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,47.0,30.0,119.0,41.0,251.0,291k INR,$37488,104381.0,12.0,9.97,,,66.0,0.69,,168.0
3587.0,Shopian,male ,Urban,,nano entrepreneur,Agri,JKBK086347,As on Feb 2026,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,36.0,32.0,28.0,9.0,124.0,,₹1570911,68013.0,60.0,12.07,,,4.0,0.54,late,0.0
3588.0,Kathua,Other,Rural,,,Agri,JKBK032290,15/2/2026,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,28.0,,62.0,36.0,,4309k INR,,,12.0,6.89,,,1.0,0.61,,0.0
3589.0,Rajouri,Male,Urban,,,Agri,JKBK074576,As on Feb 2026,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,81.0,35.0,,8.0,,3292330,,80618.0,,13.55,,,2.0,0.81,,32.0
3590.0,Ramban,Other,rural,,,Retail,JKBK055585,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,70.0,12.0,70.0,37.0,219.0,,$40573,73855.0,48.0,13.41,,,33.0,0.84,ONTIME,92.0
3591.0,Ganderbal,,,Multiple,nano entrepreneur,Services,JKBK069621,2021-01-26,1.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,34.0,32.0,63.0,6.0,164.0,1899333,5774954,40069.0,48.0,10.7,,,94.0,0.01,Delayed,0.0
3592.0,Anantnag,Other,urban ,,Nano Entrepreneur,Tourism,JKBK049533,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,72.0,,54.0,26.0,,5828282,2527k INR,,60.0,12.96,,,93.0,0.64,ONTIME,0.0
3593.0,Reasi,FEMALE,,,MSME Sunrise Sector,Manufacturing,JKBK092458,2025-09-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,73.0,59.0,76.0,17.0,231.0,₹4891998,₹709777,39818.0,12.0,6.85,12476.0,0.313,26.0,,ONTIME,0.0
3594.0,Bandipora,Female,rural,,Existing Enterprise,Agri,JKBK016355,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,34.0,73.0,38.0,20.0,26.0,191.0,₹659742,₹2081752,30818.0,48.0,11.37,8570.0,0.278,38.0,0.87,On-time,0.0
3595.0,Udhampur,,Urban,Visual,nano entrepreneur,Agri,JKBK027962,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,17.0,66.0,40.0,180.0,₹224460,$47235,90246.0,12.0,11.01,,,52.0,0.15,Default,73.0
3596.0,Ganderbal,,,Hearing,Existing Enterprise,Services,JKBK022737,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,35.0,49.0,7.0,28.0,122.0,$9075,5723059,73625.0,24.0,11.19,,,85.0,0.01,On-time,0.0
3597.0,Poonch,male ,rural,Hearing,Existing enterprise,IT,JKBK016355,12/4/2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,49.0,66.0,,,$37675,1570918,19151.0,12.0,8.34,4544.0,0.237,83.0,0.95,Delayed,7.0
3598.0,Rajouri,Male,urban ,Multiple,,Agri,JKBK048329,As on Feb 2026,1.0,1.0,1.0,1.0,1.0,1.0,0.0,19.0,80.0,34.0,87.0,4.0,224.0,$2696,₹1013106,65137.0,12.0,7.89,10467.0,0.161,70.0,0.39,Delayed,115.0
3599.0,Shopian,Other,rural,Visual,,Retail,JKBK027983,12-7-2022,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,8.0,32.0,11.0,25.0,94.0,₹4489994,$24287,82534.0,24.0,7.67,,,67.0,0.09,,0.0
3599.0,Kathua,FEMALE,Urban,Multiple,MSME Sunrise Sector,Retail,JKBK054644,2-27-2024,1.0,1.0,0.0,1.0,1.0,1.0,1.0,23.0,65.0,34.0,,39.0,,$39629,$46637,35240.0,48.0,11.04,15855.0,0.45,98.0,0.43,Default,0.0
3601.0,Anantnag,Female,rural,Multiple,nano entrepreneur,Agri,JKBK085326,21/9/2025,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,73.0,40.0,14.0,4.0,165.0,₹1870412,1953k INR,,12.0,11.6,,,9.0,0.62,ONTIME,0.0
3602.0,Doda,male ,rural,,,Tourism,JKBK093764,2024-05-18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,82.0,39.0,83.0,13.0,247.0,2140k INR,6895854,58604.0,24.0,7.9,,,65.0,0.14,On-time,0.0
3603.0,Reasi,Female,Rural,Visual,Existing enterprise,Services,JKBK067234,9-7-2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,53.0,53.0,22.0,36.0,167.0,1690561,6161k INR,27718.0,60.0,8.16,,,32.0,0.79,On-time,0.0
